ZipCode,TaxRegionName,EstimatedCombinedRate
90001,LOS ANGELES COUNTY,0.095
90002,LOS ANGELES,0.095
90003,LOS ANGELES,0.095
90004,LOS ANGELES,0.095
90005,LOS ANGELES,0.095
90006,LOS ANGELES,0.095
90007,LOS ANGELES,0.095
90008,LOS ANGELES,0.095
90009,LOS ANGELES TOURISM MARKETING DISTRICT,0.095
90010,LOS ANGELES,0.095
90011,LOS ANGELES,0.095
90012,LOS ANGELES,0.095
90013,LOS ANGELES,0.095
90014,LOS ANGELES,0.095
90015,LOS ANGELES,0.095
90016,LOS ANGELES,0.095
90017,LOS ANGELES,0.095
90018,LOS ANGELES,0.095
90019,LOS ANGELES,0.095
90020,LOS ANGELES,0.095
90021,LOS ANGELES,0.095
90022,LOS ANGELES COUNTY,0.095
90023,LOS ANGELES,0.095
90024,LOS ANGELES,0.095
90025,LOS ANGELES,0.095
90026,LOS ANGELES,0.095
90027,LOS ANGELES,0.095
90028,LOS ANGELES,0.095
90029,LOS ANGELES,0.095
90030,LOS ANGELES,0.095
90031,LOS ANGELES,0.095
90032,LOS ANGELES,0.095
90033,LOS ANGELES,0.095
90034,LOS ANGELES,0.095
90035,LOS ANGELES,0.095
90036,LOS ANGELES,0.095
90037,LOS ANGELES,0.095
90038,LOS ANGELES,0.095
90039,LOS ANGELES,0.095
90040,COMMERCE,0.1025
90041,LOS ANGELES,0.095
90042,LOS ANGELES,0.095
90043,LOS ANGELES,0.095
90044,LOS ANGELES,0.095
90045,LOS ANGELES,0.095
90046,LOS ANGELES,0.095
90047,LOS ANGELES,0.095
90048,LOS ANGELES,0.095
90049,LOS ANGELES,0.095
90050,LOS ANGELES,0.095
90051,LOS ANGELES,0.095
90052,LOS ANGELES,0.095
90053,LOS ANGELES,0.095
90054,LOS ANGELES,0.095
90055,LOS ANGELES,0.095
90056,LOS ANGELES COUNTY,0.095
90057,LOS ANGELES,0.095
90058,VERNON,0.1025
90059,LOS ANGELES,0.095
90060,LOS ANGELES,0.095
90061,LOS ANGELES,0.095
90062,LOS ANGELES,0.095
90063,LOS ANGELES COUNTY,0.095
90064,LOS ANGELES,0.095
90065,LOS ANGELES,0.095
90066,LOS ANGELES,0.095
90067,LOS ANGELES,0.095
90068,LOS ANGELES,0.095
90069,WEST HOLLYWOOD BUSINESS IMPROVEMENT AREA,0.1025
90070,LOS ANGELES,0.095
90071,LOS ANGELES,0.095
90072,LOS ANGELES,0.095
90073,LOS ANGELES COUNTY,0.095
90074,LOS ANGELES,0.095
90075,LOS ANGELES,0.095
90076,LOS ANGELES,0.095
90077,LOS ANGELES,0.095
90078,LOS ANGELES,0.095
90079,LOS ANGELES,0.095
90081,LOS ANGELES,0.095
90082,LOS ANGELES,0.095
90083,LOS ANGELES,0.095
90084,LOS ANGELES,0.095
90086,LOS ANGELES,0.095
90087,LOS ANGELES,0.095
90088,LOS ANGELES,0.095
90089,LOS ANGELES,0.095
90091,LOS ANGELES COUNTY,0.095
90093,LOS ANGELES,0.095
90094,LOS ANGELES,0.095
90095,LOS ANGELES COUNTY,0.095
90096,LOS ANGELES,0.095
90099,LOS ANGELES,0.095
90201,BELL GARDENS,0.1025
90202,BELL GARDENS,0.1025
90209,BEVERLY HILLS,0.095
90210,BEVERLY HILLS,0.095
90211,BEVERLY HILLS,0.095
90212,BEVERLY HILLS,0.095
90213,BEVERLY HILLS,0.095
90220,COMPTON,0.1025
90221,COMPTON,0.1025
90222,COMPTON,0.1025
90223,COMPTON,0.1025
90224,COMPTON,0.1025
90230,CULVER CITY,0.1025
90231,CULVER CITY,0.1025
90232,CULVER CITY,0.1025
90233,CULVER CITY,0.1025
90239,DOWNEY,0.1
90240,DOWNEY,0.1
90241,DOWNEY,0.1
90242,DOWNEY,0.1
90245,EL SEGUNDO,0.095
90247,GARDENA,0.1025
90248,LOS ANGELES,0.095
90249,GARDENA,0.1025
90250,LOS ANGELES COUNTY DISTRICT TAX SP,0.1025
90251,LOS ANGELES COUNTY DISTRICT TAX SP,0.1025
